id,value,feed_id,created_at,lat,lon,ele
0FTZJJ01ZBC3N5YG1V9FJ9V9VX,34.6286,3025962,2025-03-14 23:07:26 UTC,,,
0FTZJJ4Y6GHZ35P64M6E4VDGFZ,34.6286,3025962,2025-03-14 23:07:42 UTC,,,
0FTZJJ9TF9TVE583ZGPCZRBBYA,34.6286,3025962,2025-03-14 23:07:58 UTC,,,
0FTZJJEPR4RB8SVW6RYQM7VK5Q,34.6286,3025962,2025-03-14 23:08:14 UTC,,,
0FTZJJKK0498RM6T8EZ7E7NRHD,34.6286,3025962,2025-03-14 23:08:30 UTC,,,
0FTZJJRF79DFV51J9PVNSQD2VJ,34.6286,3025962,2025-03-14 23:08:46 UTC,,,
0FTZJJXBHY78C3735W7FTTYZFC,34.6286,3025962,2025-03-14 23:09:02 UTC,,,
0FTZJK27W17JYC34H7F96TZ8ES,34.6286,3025962,2025-03-14 23:09:18 UTC,,,
0FTZJK7448168Z9JJZH1J4JZWX,34.6286,3025962,2025-03-14 23:09:34 UTC,,,
0FTZJKC0CRD6P47G7JWZ4WRAEV,34.6286,3025962,2025-03-14 23:09:50 UTC,,,
0FTZJKGWQ0ERE64HFB8AC32QYP,34.6286,3025962,2025-03-14 23:10:06 UTC,,,
0FTZJKNRZQRZSJ88N0005QHYB9,34.6286,3025962,2025-03-14 23:10:22 UTC,,,
0FTZJKTN9J8RQ88Q8YH3QSTZVT,34.6286,3025962,2025-03-14 23:10:38 UTC,,,
0FTZJKZHMWCB4GV0TNKQZQMDDA,34.6286,3025962,2025-03-14 23:10:54 UTC,,,
0FTZJM4DXCZM761VRB9E6EGYCF,34.6286,3025962,2025-03-14 23:11:10 UTC,,,
0FTZJM9A6R07MP40J50CQVJFF2,34.6286,3025962,2025-03-14 23:11:26 UTC,,,
0FTZJME6FRM4R6YXBGT2ET8CWY,34.6286,3025962,2025-03-14 23:11:42 UTC,,,
0FTZJMK2QM8DDE02VQ1GAQRGG9,34.6286,3025962,2025-03-14 23:11:58 UTC,,,
0FTZJMQZ4CFXGAGW1VN7XPWP83,34.6286,3025962,2025-03-14 23:12:14 UTC,,,
0FTZJMWVA7KNBYAH93Y2W004XC,34.6286,3025962,2025-03-14 23:12:30 UTC,,,
0FTZJN1QNDWXAQXHF84T9N0MVC,34.6286,3025962,2025-03-14 23:12:46 UTC,,,
0FTZJN6KX6NPTRMXF52WB16Z4X,34.6286,3025962,2025-03-14 23:13:02 UTC,,,
0FTZJNBGD4KD2SSAM4NR2SJBG5,34.6286,3025962,2025-03-14 23:13:18 UTC,,,
0FTZJNGCD5AQ93J0S0YY6ZGZ52,34.6286,3025962,2025-03-14 23:13:34 UTC,,,
0FTZJNN8QPJHAQQ9DZ0YSYVW07,34.6286,3025962,2025-03-14 23:13:50 UTC,,,
0FTZJNT56HT9CXM7P3P4N2J7NJ,34.6286,3025962,2025-03-14 23:14:06 UTC,,,
0FTZJNZ1A1QJVJCKY07ZVAE9X1,34.6286,3025962,2025-03-14 23:14:22 UTC,,,
0FV575JJR5ZZ8NBPMSFX12R410,35.5649,3025962,2025-03-21 23:27:59 UTC,,,
0FV576A8PVCN56E5GJM1PZQKMA,34.6286,3025962,2025-03-21 23:29:17 UTC,,,
0FV576F502FAWKK3X15HV2WX8H,34.6286,3025962,2025-03-21 23:29:33 UTC,,,
0FV576M0YV46QEVBMDP3X9TGC6,34.6286,3025962,2025-03-21 23:29:49 UTC,,,
0FV576RXHDF1B4VX66RM9DZZAB,34.6286,3025962,2025-03-21 23:30:05 UTC,,,
0FV576XSZFYTQ07204G01SEZVS,34.6286,3025962,2025-03-21 23:30:21 UTC,,,
0FV5772NZWPM1WC4P2PG0PSV30,34.1605,3025962,2025-03-21 23:30:37 UTC,,,
0FV5777JCT498F8C386MPN7E1M,34.1605,3025962,2025-03-21 23:30:53 UTC,,,
0FV577A98CGWJBHTA5PH830JP7,34.6286,3025962,2025-03-21 23:31:01 UTC,,,
0FV579H6ADRG5EDM9HK7RBE489,35.5649,3025962,2025-03-21 23:34:54 UTC,,,
0FV579P2JG130V42R7875HWMT1,36.5012,3025962,2025-03-21 23:35:10 UTC,,,
0FV579TYHJ3G5T645M11KM0B09,36.0331,3025962,2025-03-21 23:35:26 UTC,,,
0FV57APXNN9FKMFBKVWERSJRCC,36.0331,3025962,2025-03-21 23:36:57 UTC,,,
0FV57K5TGBV9V7EMX9D99S4DSD,37.9056,3025962,2025-03-21 23:51:45 UTC,,,
0FV57KRD952JHD81TCEVRDVJRC,37.9056,3025962,2025-03-21 23:52:46 UTC,,,
0FV586KC128F30XWHY7PDMETEW,33.6924,3025962,2025-03-22 00:25:42 UTC,,,
0FV5A5K08T2TZ3TGJXFM7PY0HH,32.2879,3025962,2025-03-22 02:15:47 UTC,,,
